,Title,Release Year,Locations,Director,Actor 1
1892,Nash Bridges,2021,Tayor Street at The Embarcadero,Greg Beeman,Don Johnson
1893,The Matrix Resurrections,2021,150 California,Lana Wachowski,Keanu Reeves
1894,Nash Bridges,2021,Mission Street between 5th Street and 6th Street,Greg Beeman,Don Johnson
1895,The Matrix Resurrections,2021,Fremont at Mission,Lana Wachowski,Keanu Reeves
1896,Nash Bridges,2021,Illinois Street at 20th Street,Greg Beeman,Don Johnson
1897,Venom: Let There Be Carnage,2021,6th Street and Jessie Street,Andy Serkis,Tom Hardy
1898,The Matrix Resurrections,2021,Vallejo at Jones,Lana Wachowski,Keanu Reeves
1899,The Matrix Resurrections,2021,Pine and Grant Ave,Lana Wachowski,Keanu Reeves
1900,Nash Bridges,2021,"Musee Mecanique, Fisherman's Wharf",Greg Beeman,Don Johnson
1901,Nash Bridges,2021,"Far East Café, 631 Grant Avenue",Greg Beeman,Don Johnson
1902,The Matrix Resurrections,2021,Harry Bridges Plaza and Embarcadero,Lana Wachowski,Keanu Reeves
1903,Venom: Let There Be Carnage,2021,O'Farrell between Leavenworth and Jones,Andy Serkis,Tom Hardy
1904,Shang-Chi and the Legend of the Ten Rings,2021,"Caifornia, Mason, Powell, Joice St and Stockton",Destin Daniel Cretton,Simu Liu
1905,Goliath- Season 4,2021,Mountain Spring Avenue at Glenbrook Avenue,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1906,Nash Bridges,2021,California Street at Davis,Greg Beeman,Don Johnson
1907,Nash Bridges,2021,Davis Street between,Greg Beeman,Don Johnson
1908,Venom: Let There Be Carnage,2021,Antonio Street,Andy Serkis,Tom Hardy
1909,Venom: Let There Be Carnage,2021,"Grace Cathedral Church, 1100 California Street",Andy Serkis,Tom Hardy
1910,Goliath- Season 4,2021,Pier 7,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1911,Nash Bridges,2021,Rowland Street,Greg Beeman,Don Johnson
1912,Goliath- Season 4,2021,Waverly between Clay and Washington,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1913,Goliath- Season 4,2021,Hyde and Chestnut,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1914,Shang-Chi and the Legend of the Ten Rings,2021,Stockton Tunnel,Destin Daniel Cretton,Simu Liu
1915,Venom: Let There Be Carnage,2021,Sutter Stockton Garage,Andy Serkis,Tom Hardy
1916,Shang-Chi and the Legend of the Ten Rings,2021,"Bush between Hyde and Kearny, Sutter between Hyde and Kearny",Destin Daniel Cretton,Simu Liu
1917,Goliath- Season 4,2021,Washington and Spofford,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1918,Nash Bridges,2021,"Barbary Coast, 952 Mission Street",Greg Beeman,Don Johnson
1919,The Matrix Resurrections,2021,425 California,Lana Wachowski,Keanu Reeves
1920,Venom: Let There Be Carnage,2021,Montgomery and Green,Andy Serkis,Tom Hardy
1921,Shang-Chi and the Legend of the Ten Rings,2021,Noe between Alvarado and Liberty,Destin Daniel Cretton,Simu Liu
1922,Shang-Chi and the Legend of the Ten Rings,2021,Post between Van Ness and Kearny,Destin Daniel Cretton,Simu Liu
1923,Nash Bridges,2021,"Hibernia Bank, 1 Jones Street",Greg Beeman,Don Johnson
1924,Goliath- Season 4,2021,Hyde and Lombard,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1925,Nash Bridges,2021,"Pier 28, Hi-Dive",Greg Beeman,Don Johnson
1926,Shang-Chi and the Legend of the Ten Rings,2021,Jones between Post and California,Destin Daniel Cretton,Simu Liu
1927,The Matrix Resurrections,2021,"Joe & The Juice, 235 Montgomery",Lana Wachowski,Keanu Reeves
1928,Nash Bridges,2021,"Broadway Studios, 435 Broadway",Greg Beeman,Don Johnson
1929,The Matrix Resurrections,2021,"House of Nanking, 919 Kearny",Lana Wachowski,Keanu Reeves
1930,Shang-Chi and the Legend of the Ten Rings,2021,Jones between Pine and O'Farrell,Destin Daniel Cretton,Simu Liu
1931,Goliath- Season 4,2021,Red's Java House - Pier 30,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1932,The Matrix Resurrections,2021,"The Avery, 488 Folsom",Lana Wachowski,Keanu Reeves
1933,Shang-Chi and the Legend of the Ten Rings,2021,Stockton and Bush,Destin Daniel Cretton,Simu Liu
1934,The Matrix Resurrections,2021,44 Montogomery,Lana Wachowski,Keanu Reeves
1935,Shang-Chi and the Legend of the Ten Rings,2021,Larkin between Beach and Bay,Destin Daniel Cretton,Simu Liu
1936,Nash Bridges,2021,Waverly Place between Clay and Washington,Greg Beeman,Don Johnson
1937,Goliath- Season 4,2021,Stockton and Jackson,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1938,The Matrix Resurrections,2021,1 Front St,Lana Wachowski,Keanu Reeves
1939,The Matrix Resurrections,2021,California at Grant Ave,Lana Wachowski,Keanu Reeves
1940,Goliath- Season 4,2021,California and Mason,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1941,Goliath- Season 4,2021,Union at Jasper Place,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1942,Goliath- Season 4,2021,Crissy Field Beach,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen",Billy Bob Thornton
1943,Nash Bridges,2021,"1040 Columbus Avenue, Kennedy's",Greg Beeman,Don Johnson
1944,Venom: Let There Be Carnage,2021,Palace of Fine Arts,Andy Serkis,Tom Hardy
1945,Nash Bridges,2021,Jeremiah O'Brien ship at Pier 35,Greg Beeman,Don Johnson
1946,The Matrix Resurrections,2021,"Sansome, Sacramento, and California",Lana Wachowski,Keanu Reeves
1947,Super Pumped: The Battle for Uber,2022,California Street at Sansome Street,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1948,My Big Fat Chinese Christmas,2022,Pier 7 San Francisco,Jennifer Liao,Shannon Chan-Kent
1949,Surface,2022,Bay Street between Larkin and Hyde,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1950,Surface,2022,Jackson Street between Stockton and Grant,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1951,This Is Us,2022,Lombard Street at Hyde,Mandy Moore,Milo Ventimiglia
1952,Surface,2022,"2 New Montgomery Street, Palace Hotel","Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1953,Nash Bridges,2022,"Pier 7, San Francisco",Greg Beeman,Don Johnson
1954,Super Pumped: The Battle for Uber,2022,Hyde Street at Union Plaza,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1955,This Is Us,2022,Alamo Square Park,Mandy Moore,Milo Ventimiglia
1956,Surface,2022,Merchant Road Trail at Presidio,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1957,Super Pumped: The Battle for Uber,2022,Larkin Street at Hayes,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1958,Surface,2022,Fillmore Street between Haight and Waller,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1959,This Is Us,2022,Montgomery Street between Broadway and Green,Mandy Moore,Milo Ventimiglia
1960,Super Pumped: The Battle for Uber,2022,Arkansas St. midblock between Mariposa & 17th St.,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1961,Surface,2022,Powell Street at Geary,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1962,Super Pumped: The Battle for Uber,2022,Texas Street at 19th Street,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1963,Super Pumped: The Battle for Uber,2022,"650 Howard Street at New Montgomery, Gold Club","Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1964,My Big Fat Chinese Christmas,2022,Mason Street between California and Pine,Jennifer Liao,Shannon Chan-Kent
1965,Surface,2022,Ross Alley (Chinatown),"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1966,Surface,2022,Post Street between Montgomery and Kearny,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1967,Super Pumped: The Battle for Uber,2022,Grant Avenue between O'Farrell to Geary,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1968,Super Pumped: The Battle for Uber,2022,Main Street between Harrison and Howard,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1969,Surface,2022,Francisco Street between Leavenworth and Hyde,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1970,My Big Fat Chinese Christmas,2022,Hyde Street between Filbert and Chestnut,Jennifer Liao,Shannon Chan-Kent
1971,Surface,2022,Leavenworth Street between Greenwich and Filbert,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1972,My Big Fat Chinese Christmas,2022,Grant Avenue between Clay and California,Jennifer Liao,Shannon Chan-Kent
1973,Surface,2022,California Street between Mason and Powell,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1974,Surface,2022,Haight Street between Pierce and Fillmore,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1975,Surface,2022,Jackson Street between Ross and Wentworh,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1976,Surface,2022,Baker Beach,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1977,Surface,2022,Montgomery Street between Green and Union,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1978,This Is Us,2022,California Street at Mason Street,Mandy Moore,Milo Ventimiglia
1979,Surface,2022,Palace of Fine Arts,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1980,Super Pumped: The Battle for Uber,2022,Market Street at Union Plaza,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1981,Surface,2022,Fremont Street between 1st Street and 2nd vStreet,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1982,Surface,2022,Montgomery Bart Station,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1983,Surface,2022,Montgomery Street at Market,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1984,Surface,2022,Harrison Street at 1st Street,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1985,Surface,2022,Ina Coolbrith Park (1700 Taylor Street),"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1986,Super Pumped: The Battle for Uber,2022,Alameda St. between Vermont St. & San Bruno Ave.,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1987,Super Pumped: The Battle for Uber,2022,"181 3rd Street at Howard, W Hotel","Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1988,Surface,2022,Filbert Street between Hyde and Leavenworth,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1989,Super Pumped: The Battle for Uber,2022,Missouri & 18th Street,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1990,Surface,2022,Market Street at 4th Street,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1991,Surface,2022,Clay Street between Mason and Powell,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1992,This Is Us,2022,Pier 39,Mandy Moore,Milo Ventimiglia
1993,Super Pumped: The Battle for Uber,2022,Harrison Street between Spear and Embarcadero,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
1994,My Big Fat Chinese Christmas,2022,Montgomery Street between Clay and California,Jennifer Liao,Shannon Chan-Kent
1995,Surface,2022,Waller Street between Scott and Pierce,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1996,Surface,2022,Fort Point,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1997,Surface,2022,Vallejo Street between Jones and Vallejo Street Crest,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1998,Surface,2022,Columbus Avenue between Vallejo and Broadway,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
1999,My Big Fat Chinese Christmas,2022,Grant Avenue between Sacramento and California,Jennifer Liao,Shannon Chan-Kent
2000,My Big Fat Chinese Christmas,2022,Pier 15 San Francisco,Jennifer Liao,Shannon Chan-Kent
2001,Super Pumped: The Battle for Uber,2022,SF City Hall Carlton B. Goodlett Place Street Steps,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes",Joseph Gordon-Levitt
2002,Surface,2022,Taylor Street between Green and Broadway,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates",Gugu Mbatha-Raw
2003,Ant-Man and the Wasp: Quantumania,2023,Post between Leavenworth and Montgomery,Peyton Reed,Paul Rudd
2004,I’m A Virgo,2023,"Vallejo Street Garage, 766 Vallejo Garage",Boots Riley,Jharrel Jerome
2005,Ant-Man and the Wasp: Quantumania,2023,Central Police Station 766 Vallejo Street,Peyton Reed,Paul Rudd
2006,The Last Thing He Told Me,2023,"168 2nd Street, Blue Bottle Coffee","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Jennifer Garner
2007,I’m A Virgo,2023,Portsmouth Square Park,Boots Riley,Jharrel Jerome
2008,Ant-Man and the Wasp: Quantumania,2023,601 Buena Vista West,Peyton Reed,Paul Rudd
2009,I’m A Virgo,2023,"Fairmont Hotel, 950 Mason Street",Boots Riley,Jharrel Jerome
2010,I’m A Virgo,2023,Kearny Street between Clay and Washington,Boots Riley,Jharrel Jerome
2011,The Last Thing He Told Me,2023,"Ferry Building, San Francisco","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Jennifer Garner
2012,The Last Thing He Told Me,2023,Chestnust Street at Steiner,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Jennifer Garner
2013,Ant-Man and the Wasp: Quantumania,2023,Geary Street between Market and Leavenworth,Peyton Reed,Paul Rudd
2014,Blindspotting (Season 2),2023,"Broadway Studios, 435 Broadway","Rafael Casal, Jess Wu Calder,",Jasmine Cephas Jones
2015,Blindspotting (Season 2),2023,Broadway at Montgomery,"Rafael Casal, Jess Wu Calder,",Jasmine Cephas Jones
2016,I’m A Virgo,2023,Columbus Avenue between Pacifiic and Jackson,Boots Riley,Jharrel Jerome
2017,Blindspotting (Season 2),2023,"Coqueta at Pier 7, San Francisco","Rafael Casal, Jess Wu Calder,",Jasmine Cephas Jones
2018,The Last Thing He Told Me,2023,Oracle Park,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Jennifer Garner
2019,The Last Thing He Told Me,2023,2698 Pacific Avenue,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Jennifer Garner
2020,Earth Mama,2023,"Bayside Drive, Treasure Island",Savanah Leaf,Tia Nomore
